,Year,Drink Window,Description,Province,Type,Name of Wine,Points,Price
170,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Matchbook 2015 The Arsonist Chardonnay (Dunnigan Hills),90,$22.00
171,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Babcock 2015 Chardonnay (Sta. Rita Hills),88,$30.00
742,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Comartin 2014 Chardonnay (Santa Cruz Mountains),92,$35.00
743,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Iron Hub 2014 Small Lot Chardonnay (Sierra Foothills),90,$27.00
745,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,McManis 2014 Chardonnay (River Junction),87,$10.00
746,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Tyler Florence 2014 Blending Sessions Blend No. 3 Chardonnay (Sonoma County),87,$20.00
747,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Hooker 2014 Breakaway Chardonnay (Knights Valley),90,$24.00
748,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Blue Rock 2014 Chardonnay (Sonoma Coast),91,$48.00
749,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Lincourt 2014 Carol Ann Chardonnay (Sta. Rita Hills),90,$35.00
750,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Ram's Gate 2014 Durell Vineyard Chardonnay (Sonoma Coast),91,$74.00
751,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Grow Wines 2014 Ruhl Vineyard Chardonnay (Mount Veeder),93,$38.00
752,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Folie à Deux 2014 Chardonnay (Russian River Valley),90,$18.00
753,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Saintsbury 2014 Chardonnay (Carneros),91,$26.00
754,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Kitá 2014 Hilliard Bruce Vineyard Chardonnay (Sta. Rita Hills),93,$30.00
755,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,MacRostie 2014 Sangiacomo Vineyard Chardonnay (Carneros),92,$46.00
756,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Testarossa 2014 Cuvée 107 Chardonnay (Santa Lucia Highlands),85,$23.00
757,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Talbott 2014 Sleepy Hollow Vineyard Estate Grown Chardonnay (Santa Lucia Highlands),92,$50.00
758,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,McFadden 2014 Blue Quail Chardonnay (Potter Valley),85,$15.00
759,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,The Archivist 2014 Chardonnay (Monterey County),87,$18.00
760,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Stephen Ross 2014 Chardonnay (Edna Valley),91,$25.00
761,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Mirror 2014 Sangiacomo Vineyard Chardonnay (Sonoma Coast),88,$45.00
762,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Loring Wine Company 2014 Sierra Mar Vineyard Chardonnay (Santa Lucia Highlands),89,$40.00
763,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,MacPhail 2014 Pratt Vineyard Vine Hill Road Chardonnay (Russian River Valley),92,$45.00
764,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,True Myth 2014 Paragon Vineyard Chardonnay (Edna Valley),86,$18.00
765,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Santa Barbara Winery 2014 Chardonnay (Santa Barbara County),88,$17.00
766,2014.0,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",California,Chardonnay,Dolin 2014 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),93,$39.00
